"School Name","DBN","Budget","Total Enrollment","Budget Per Student","School Type","School Category","Street Address","City","State","Zip Code","Borough","Latitude","Longitude","Coordinates","Report Type","Report Grade","Number of Students in Cohort","Percent of Graduation Students in Cohort","Percent of Cohort Who Took Regents","Percent of Graduates Who Took Regents","Percent of Cohort Who Took Advanced Regents","Percent of Graduates Who Took Advanced Regents","Percent of Cohort Who Took Regents Without Advanced","Percent of Graduates Who Took Regents Without Advanced","Percent of Cohort Who Are Still Enrolled","Percent of Cohort Who Dropped Out","ELA Mean Scale Score","Percent of Students Scoring Level 1 in ELA","Percent of Students Scoring Level 2 in ELA","Percent of Students Scoring Level 3 in ELA","Percent of Students Scoring Level 4 in ELA","Math Mean Scale Score","Percent of Students Scoring Level 1 in Math","Percent of Students Scoring Level 2 in Math","Percent of Students Scoring Level 3 in Math","Percent of Students Scoring Level 4 in Math"
"P.S. 087 Middle Village","Q087","5951929","570","10441.9807","General Academic","K-8","67-54 80 STREET","QUEENS","NY","11379","Q","40.71190600000000","-73.87129800000001","[-73.87129800000001,40.711906]","EMS","A",,,,,,,,,,,"2.438","11","41","38","8","2.727","7","34","37","21"
"P.S. 087 William Sherman","M087","6704539","1004","6677.8277","General Academic","Elementary","160 WEST 78 STREET","MANHATTAN","NY","10024","M","40.78206710000000","-73.97791690000000","[-73.9779169,40.7820671]","EMS","B",,,,,,,,,,,"3.091","1","17","52","28","3.232","1","18","37","43"
"P.S. 088 Seneca","Q088","10434356","1079","9670.3948","General Academic","Elementary","60-85 CATALPA AVENUE","QUEENS","NY","11385","Q","40.70408200000000","-73.89645399999999","[-73.89645399999999,40.704082]","EMS","C",,,,,,,,,,,"2.414","15","37","38","9","2.727","7","36","33","23"
"P.S. 089 Bronx","X089","11303756","1316","8589.4802","General Academic","K-8","980 MACE AVENUE","BRONX","NY","10469","X","40.86287780000000","-73.85907270000000","[-73.8590727,40.8628778]","EMS","C",,,,,,,,,,,"2.131","18","53","25","3","2.449","10","45","32","11"
"P.S. 089 Cypress Hills","K089","2525598","274","9217.5109","General Academic","K-8","265 WARWICK STREET","BROOKLYN","NY","11207","K","40.67721110000000","-73.88680289999999","[-73.88680289999999,40.6772111]","EMS","B",,,,,,,,,,,"2.030","23","51","24","1","2.112","20","51","23","4"
"P.S. 089 Elmhurst","Q089","12729126","1719","7404.9599","General Academic","Elementary","85-28 BRITTON AVENUE","QUEENS","NY","11373","Q","40.74594200000000","-73.87962300000000","[-73.879623,40.745942]","EMS","A",,,,,,,,,,,"2.444","12","38","42","7","2.867","4","30","39","25"
"P.S. 090 Horace Mann","Q090","6866216","864","7947.0093","General Academic","Elementary","86-50 109 STREET","QUEENS","NY","11418","Q","40.69672830000000","-73.83908610000000","[-73.8390861,40.6967283]","EMS","B",,,,,,,,,,,"2.494","8","40","45","6","2.767","4","36","38","21"
"P.S. 091 Bronx","X091","6570636","731","8988.5581","General Academic","Elementary","2200 AQUEDUCT AVENUE","BRONX","NY","10453","X","40.85823030000000","-73.90784830000000","[-73.9078483,40.8582303]","EMS","B",,,,,,,,,,,"2.112","23","43","30","2","2.424","14","42","30","13"
"P.S. 091 Richard Arkwright","Q091","7660441","881","8695.1657","General Academic","Elementary","68-10 CENTRAL AVE","QUEENS","NY","11385","Q","40.70359550000000","-73.88379499999999","[-73.88379499999999,40.7035955]","EMS","B",,,,,,,,,,,"2.500","14","33","39","12","2.787","8","34","28","29"
"P.S. 091 The Albany Avenue School","K091","8222132","791","10394.6043","General Academic","Elementary","532 ALBANY AVENUE","BROOKLYN","NY","11203","K","40.66204290000000","-73.93996760000000","[-73.9399676,40.6620429]","EMS","C",,,,,,,,,,,"2.333","19","38","32","10","2.555","11","39","32","17"
"P.S. 092 Adrian Hegeman","K092","5942300","629","9447.2178","General Academic","Elementary","601 PARKSIDE AVENUE","BROOKLYN","NY","11226","K","40.65606349999999","-73.95334000000000","[-73.95334,40.65606349999999]","EMS","C",,,,,,,,,,,"2.101","20","52","24","3","2.353","14","47","27","11"
"P.S. 092 Bronx","X092","5505714","541","10176.9205","General Academic","Elementary","700 EAST 179 STREET","BRONX","NY","10457","X","40.84678910000000","-73.88989959999999","[-73.88989959999999,40.8467891]","EMS","B",,,,,,,,,,,"2.020","26","45","26","1","2.234","18","45","29","6"
"P.S. 092 Harry T. Stewart Sr.","Q092","7933063","861","9213.7782","General Academic","Elementary","99-01 34 AVENUE","QUEENS","NY","11368","Q","40.75546800000000","-73.86911760000000","[-73.8691176,40.755468]","EMS","A",,,,,,,,,,,"2.252","12","54","29","4","2.630","6","41","37","16"
"P.S. 092 Mary McLeod Bethune","M092","4776282","287","16642.0976","General Academic","Elementary","222 WEST 134 STREET","MANHATTAN","NY","10030","M","40.81509320000000","-73.94527889999999","[-73.94527889999999,40.8150932]","EMS","B",,,,,,,,,,,"2.111","18","54","25","2","2.343","17","42","29","11"
"P.S. 093 Albert G. Oliver","X093","5049878","404","12499.6980","General Academic","Elementary","1535 STORY AVENUE","BRONX","NY","10473","X","40.82251300000000","-73.87725499999999","[-73.87725499999999,40.822513]","EMS","B",,,,,,,,,,,"2.255","17","42","36","3","2.479","11","39","38","10"
"P.S. 093 William H. Prescott","K093","3884726","402","9663.4975","General Academic","Elementary","31 NEW YORK AVENUE","BROOKLYN","NY","11216","K","40.67904040000000","-73.94684160000000","[-73.9468416,40.6790404]","EMS","C",,,,,,,,,,,"2.204","21","40","33","4","2.414","14","45","25","15"
"P.S. 094 David D. Porter","Q094","2993089","444","6741.1914","General Academic","Elementary","41-77 LITTLE NECK PARKWAY","QUEENS","NY","11363","Q","40.77091470000000","-73.73898790000000","[-73.7389879,40.7709147]","EMS","B",,,,,,,,,,,"3.010","2","19","54","24","3.484","1","6","36","56"
"P.S. 094 Kings College School","X094","8256343","899","9183.9188","General Academic","Elementary","3530 KINGS COLLEGE PLACE","BRONX","NY","10467","X","40.88053920000000","-73.87571200000000","[-73.875712,40.8805392]","EMS","C",,,,,,,,,,,"2.121","24","44","26","5","2.373","11","50","28","10"
"P.S. 094 The Henry Longfellow","K094","8671162","1137","7626.3518","General Academic","Elementary","5010 6 AVENUE","BROOKLYN","NY","11220","K","40.68091099999999","-73.97412200000000","[-73.974122,40.68091099999999]","EMS","B",,,,,,,,,,,"2.282","16","46","30","7","2.787","6","34","34","25"
"P.S. 095 Eastwood","Q095","9470802","1341","7062.4922","General Academic","Elementary","179-01 90 AVENUE","QUEENS","NY","11432","Q","40.71060850000000","-73.78353160000000","[-73.7835316,40.7106085]","EMS","B",,,,,,,,,,,"2.510","10","38","40","10","2.707","9","33","35","22"
"P.S. 095 Sheila Mencher","X095","9671920","1233","7844.2174","General Academic","K-8","3961 HILLMAN AVENUE","BRONX","NY","10463","X","40.88302190000000","-73.89167200000000","[-73.891672,40.8830219]","EMS","B",,,,,,,,,,,"2.393","12","44","35","8","2.656","9","35","36","19"
"P.S. 095 The Gravesend","K095","8045377","1017","7910.8918","General Academic","K-8","345 VAN SICKLEN STREET","BROOKLYN","NY","11223","K","40.59571120000000","-73.97517350000000","[-73.9751735,40.5957112]","EMS","C",,,,,,,,,,,"2.353","14","43","35","7","2.666","10","35","32","22"
"P.S. 096","Q096","2976765","331","8993.2477","General Academic","Elementary","130-01 ROCKAWAY BOULEVARD","QUEENS","NY","11420","Q","40.67501190000000","-73.80848310000000","[-73.8084831,40.6750119]","EMS","B",,,,,,,,,,,"2.520","10","36","46","8","2.640","9","36","37","18"
"P.S. 096 Joseph Lanzetta","M096","5189804","574","9041.4704","General Academic","K-8","216 EAST 120 STREET","MANHATTAN","NY","10035","M","40.80023410000000","-73.93752290000000","[-73.9375229,40.8002341]","EMS","C",,,,,,,,,,,"2.000","21","57","19","1","2.163","17","51","27","3"
"P.S. 096 Richard Rodgers","X096","8157974","1046","7799.2103","General Academic","Elementary","650 WARING AVENUE","BRONX","NY","10467","X","40.86070100000000","-73.86900500000000","[-73.869005,40.860701]","EMS","B",,,,,,,,,,,"2.575","10","34","43","12","3.030","3","24","39","33"
"P.S. 097 Bronx","X097","5998050","716","8377.1648","General Academic","Elementary","1375 MACE AVENUE","BRONX","NY","10469","X","40.86284740000000","-73.84679460000000","[-73.8467946,40.8628474]","EMS","B",,,,,,,,,,,"2.323","16","41","36","6","2.747","8","32","36","23"
"P.S. 097 Forest Park","Q097","6149690","754","8156.0875","General Academic","Elementary","85-52 85 STREET","QUEENS","NY","11421","Q","40.69421500000000","-73.86003900000000","[-73.860039,40.694215]","EMS","A",,,,,,,,,,,"2.676","6","34","45","14","3.090","2","22","40","35"
"P.S. 098 Shorac Kappock","M098","6995837","697","10037.0689","General Academic","Elementary","512 WEST 212 STREET","MANHATTAN","NY","10034","M","40.86810440000000","-73.91760260000000","[-73.9176026,40.8681044]","EMS","B",,,,,,,,,,,"2.050","27","43","26","3","2.323","18","42","28","11"
"P.S. 098 The Douglaston School","Q098","2114046","279","7577.2258","General Academic","Elementary","40-20 235 STREET","QUEENS","NY","11363","Q","40.78219420000000","-73.75097260000000","[-73.7509726,40.7821942]","EMS","B",,,,,,,,,,,"3.090","0","16","58","25","3.420","0","9","40","51"
"P.S. 099 Isaac Asimov","K099","5757292","698","8248.2693","General Academic","K-8","1120 EAST 10 STREET","BROOKLYN","NY","11230","K","40.62146300000000","-73.96602200000000","[-73.966022,40.621463]","EMS","A",,,,,,,,,,,"2.591","9","35","41","13","2.857","6","29","36","27"
"P.S. 099 Kew Gardens","Q099","6208177","778","7979.6620","General Academic","Elementary","82-37 KEW GARDENS ROAD","QUEENS","NY","11415","Q","40.71148600000000","-73.82774200000000","[-73.827742,40.711486]","EMS","A",,,,,,,,,,,"2.704","8","29","45","16","3.130","4","18","39","39"
"P.S. 100 Glen Morris","Q100","7869125","1024","7684.6924","General Academic","Elementary","111-11 118 STREET","QUEENS","NY","11420","Q","40.67225590000000","-73.82131650000000","[-73.8213165,40.6722559]","EMS","B",,,,,,,,,,,"2.575","8","39","39","13","3.050","2","26","37","35"
"P.S. 100 Isaac Clason","X100","6059581","699","8668.9285","General Academic","Elementary","800 TAYLOR AVENUE","BRONX","NY","10473","X","40.82140860000000","-73.86296720000000","[-73.8629672,40.8214086]","EMS","C",,,,,,,,,,,"2.171","19","47","30","3","2.505","10","40","38","11"
"P.S. 100 The Coney Island School","K100","5170285","697","7417.9125","General Academic","Elementary","2951 WEST 3 STREET","BROOKLYN","NY","11224","K","40.57710010000000","-73.97139760000000","[-73.9713976,40.5771001]","EMS","B",,,,,,,,,,,"2.777","5","27","52","15","3.180","3","19","35","43"
"P.S. 101 School in the Gardens","Q101","4867823","647","7523.6832","General Academic","Elementary","2 RUSSELL PLACE","QUEENS","NY","11375","Q","40.71553700000000","-73.84337900000000","[-73.843379,40.715537]","EMS","B",,,,,,,,,,,"2.969","6","17","49","26","3.262","3","15","34","47"
"P.S. 101 The Verrazano","K101","5614089","856","6558.5152","General Academic","Elementary","2360 BENSON AVENUE","BROOKLYN","NY","11214","K","40.59790870000000","-73.99177820000001","[-73.99177820000001,40.5979087]","EMS","B",,,,,,,,,,,"2.816","8","22","48","20","3.151","5","16","37","41"
"P.S. 102 Bayview","Q102","7677790","1024","7497.8418","General Academic","K-8","55-24 VAN HORN STREET","QUEENS","NY","11373","Q","40.73343170000000","-73.87776470000000","[-73.8777647,40.7334317]","EMS","A",,,,,,,,,,,"2.525","10","35","46","8","3.071","3","22","38","35"
"P.S. 102 Jacques Cartier","M102","4684621","316","14824.7500","General Academic","Elementary","315 EAST 113 STREET","MANHATTAN","NY","10029","M","40.79494960000000","-73.93884520000000","[-73.9388452,40.7949496]","EMS","A",,,,,,,,,,,"2.234","14","48","35","1","2.707","4","38","40","17"
"P.S. 102 Joseph O. Loretan","X102","9454295","1034","9143.4188","General Academic","Elementary","1827 ARCHER STREET","BRONX","NY","10460","X","40.83814400000000","-73.86604799999999","[-73.86604799999999,40.838144]","EMS","C",,,,,,,,,,,"1.939","33","41","23","2","2.102","25","44","23","6"
"P.S. 102 The Bayview","K102","8802968","1187","7416.1483","General Academic","Elementary","211 72 STREET","BROOKLYN","NY","11209","K","40.63408099999999","-74.02927780000000","[-74.0292778,40.63408099999999]","EMS","B",,,,,,,,,,,"2.727","7","30","45","17","3.130","3","20","38","39"
"P.S. 103 Hector Fontanez","X103","8685672","1165","7455.5124","General Academic","Elementary","4125 CARPENTER AVENUE","BRONX","NY","10466","X","40.89172260000000","-73.86171200000000","[-73.861712,40.8917226]","EMS","B",,,,,,,,,,,"2.050","23","50","24","2","2.393","12","46","31","10"
"P.S. 104 The Bays Water","Q104","5967420","650","9180.6462","General Academic","Elementary","26-01 MOTT AVENUE","QUEENS","NY","11691","Q","40.60830670000001","-73.76471049999999","[-73.76471049999999,40.60830670000001]","EMS","C",,,,,,,,,,,"2.161","19","50","25","5","2.585","12","37","30","20"
"P.S. 105 Sen Abraham Bernstein","X105","11593140","1465","7913.4061","General Academic","Elementary","725 BRADY AVENUE","BRONX","NY","10462","X","40.85305899999999","-73.86627000000001","[-73.86627000000001,40.85305899999999]","EMS","B",,,,,,,,,,,"2.323","13","45","37","4","2.636","7","38","38","16"
"P.S. 105 The Bay School","Q105","7984926","952","8387.5273","General Academic","K-8","420 BEACH 51 STREET","QUEENS","NY","11691","Q","40.59578660000000","-73.78185839999999","[-73.78185839999999,40.5957866]","EMS","C",,,,,,,,,,,"2.061","17","59","21","1","2.132","16","57","21","4"
"P.S. 105 The Blythebourne","K105","11773932","1605","7335.7832","General Academic","Elementary","1031 59 STREET","BROOKLYN","NY","11219","K","40.63293210000000","-74.00371810000000","[-74.0037181,40.6329321]","EMS","A",,,,,,,,,,,"2.656","9","28","50","12","3.275","1","17","34","46"
"P.S. 106","Q106","3247260","397","8179.4962","General Academic","Elementary","180 BEACH 35 STREET","QUEENS","NY","11691","Q","40.59372190000000","-73.76717790000000","[-73.7671779,40.5937219]","EMS","B",,,,,,,,,,,"2.479","14","30","47","7","2.575","9","41","32","17"
"P.S. 106 Edward Everett Hale","K106","6414097","633","10132.8547","General Academic","Elementary","1328 PUTNAM AVENUE","BROOKLYN","NY","11221","K","40.69369120000000","-73.91323480000001","[-73.91323480000001,40.6936912]","EMS","B",,,,,,,,,,,"2.163","16","52","28","2","2.510","8","42","38","10"
"P.S. 106 Parkchester","X106","9045035","1231","7347.7132","General Academic","Elementary","2120 ST RAYMOND'S AVENUE","BRONX","NY","10462","X","40.83754180000000","-73.85452730000000","[-73.8545273,40.8375418]","EMS","B",,,,,,,,,,,"2.393","14","39","39","7","2.830","6","31","37","26"
"P.S. 107","X107","5202302","550","9458.7309","General Academic","Elementary","1695 SEWARD AVENUE","BRONX","NY","10473","X","40.81848000000000","-73.86832120000000","[-73.8683212,40.81848]","EMS","D",,,,,,,,,,,"1.959","30","45","20","3","2.050","26","48","19","6"
"P.S. 107 John W. Kimball","K107","3887464","478","8132.7699","General Academic","Elementary","1301 8 AVENUE","BROOKLYN","NY","11215","K","40.66293900000000","-73.98120100000000","[-73.981201,40.662939]","EMS","A",,,,,,,,,,,"3.070","3","17","49","30","3.262","2","15","37","45"
"P.S. 107 Thomas A Dooley","Q107","8653560","932","9284.9356","General Academic","Elementary","167-02 45 AVENUE","QUEENS","NY","11358","Q","40.75536000000000","-73.79947000000000","[-73.79947,40.75536]","EMS","B",,,,,,,,,,,"2.808","6","24","52","17","3.131","3","19","39","38"
"P.S. 108 Assemblyman Angelo Del Toro Educational Complex","M108","6050792","729","8300.1262","General Academic","K-8","1615 MADISON AVENUE","MANHATTAN","NY","10029","M","40.79494670000000","-73.94842990000000","[-73.9484299,40.7949467]","EMS","B",,,,,,,,,,,"2.336","10","50","33","5","2.777","4","36","37","22"
"P.S. 108 Captain Vincent G. Fowler","Q108","8981923","1352","6643.4342","General Academic","Elementary","108-10 109 AVENUE","QUEENS","NY","11420","Q","40.67945539999999","-73.83120749999999","[-73.83120749999999,40.67945539999999]","EMS","A",,,,,,,,,,,"2.734","4","31","50","13","3.131","1","20","43","35"
"P.S. 108 Philip J. Abinanti","X108","4333362","599","7234.3272","General Academic","Elementary","1166 NEILL AVENUE","BRONX","NY","10461","X","40.85452540000000","-73.85303700000000","[-73.853037,40.8545254]","EMS","C",,,,,,,,,,,"2.561","7","41","38","12","2.860","6","28","40","26"
"P.S. 108 Sal Abbracciamento","K108","7275308","962","7562.6902","General Academic","Elementary","200 LINWOOD STREET","BROOKLYN","NY","11208","K","40.68127500000000","-73.88433900000000","[-73.884339,40.681275]","EMS","B",,,,,,,,,,,"2.363","13","43","37","6","2.632","8","36","38","16"
"P.S. 109","K109","6771881","635","10664.3795","General Academic","K-8","1001 EAST 45 STREET","BROOKLYN","NY","11203","K","40.63716620000000","-73.93366759999999","[-73.93366759999999,40.6371662]","EMS","B",,,,,,,,,,,"2.111","21","49","26","3","2.353","11","52","26","10"
"P.S. 109 Sedgwick","X109","6621485","753","8793.4728","General Academic","Elementary","1771 POPHAM AVENUE","BRONX","NY","10453","X","40.85170700000000","-73.91892000000000","[-73.91892,40.851707]","EMS","A",,,,,,,,,,,"2.353","10","50","33","6","2.727","6","33","42","18"
"P.S. 11 Thomas Dongan School","R011","2964343","288","10292.8576","General Academic","Elementary","50 JEFFERSON STREET","STATEN ISLAND","NY","10304","R","40.59088700000000","-74.09825200000000","[-74.098252,40.590887]","EMS","B",,,,,,,,,,,"2.212","18","44","35","2","2.545","8","44","32","15"
"P.S. 110 Florence Nightingale","M110","4275601","475","9001.2653","General Academic","Elementary","285 DELANCY STREET","MANHATTAN","NY","10002","M","40.71529500000000","-73.97992500000000","[-73.979925,40.715295]","EMS","D",,,,,,,,,,,"2.520","16","30","37","15","3.010","7","23","31","38"
"P.S. 110 The Monitor","K110","3601001","360","10002.7806","General Academic","Elementary","124 MONITOR STREET","BROOKLYN","NY","11222","K","40.72375100000000","-73.94191900000000","[-73.941919,40.723751]","EMS","C",,,,,,,,,,,"2.642","5","35","48","10","2.798","8","25","45","21"
"P.S. 110 Theodore Schoenfeld","X110","5205217","424","12276.4552","General Academic","Elementary","580 CROTONA PARK SOUTH","BRONX","NY","10456","X","40.83447300000000","-73.90063900000000","[-73.900639,40.834473]","EMS","B",,,,,,,,,,,"2.224","11","58","25","4","2.616","5","40","42","12"
"P.S. 111 Adolph S. Ochs","M111","5571582","588","9475.4796","General Academic","K-8","440 WEST 53 STREET","MANHATTAN","NY","10019","M","40.76616000000000","-73.98957300000000","[-73.989573,40.76616]","EMS","B",,,,,,,,,,,"2.161","14","56","28","1","2.550","9","42","34","15"
"P.S. 111 Jacob Blackwell","Q111","4868423","440","11064.5977","General Academic","K-8","37-15 13 STREET","QUEENS","NY","11101","Q","40.75892130000000","-73.93930900000000","[-73.939309,40.7589213]","EMS","C",,,,,,,,,,,"1.949","26","53","17","2","2.102","21","52","19","6"
"P.S. 111 Seton Falls","X111","7046897","655","10758.6214","General Academic","Elementary","3740 BAYCHESTER AVENUE","BRONX","NY","10466","X","40.88435500000000","-73.83926300000000","[-73.839263,40.884355]","EMS","C",,,,,,,,,,,"1.939","30","48","18","3","2.316","14","46","31","7"
